263 216;   0;   0;   0;   0;   28;   48;   0;   0;   0;   0;   683
   279;  188 475;   888;   0;   0;   372;   0;   0;   0;   0;   0;   1
  5 423;  3 465; 1 958 136;   0;   40;  35 899;   119;  1 279;   0;   0;  1 759;   809
   0;   0;   967;  195 046;   0;   0;   0;   0;   0;   0;   0;  1 761
  3 626;  6 045;   0;   0;  444 958;   0;   0;   0;   0;   0;   0;   0
   0;   18;  13 967;   0;   0;  595 930;   98; (-)   348;   0;   0;  2 344;   188
   0;   0;   0;   299;   0;  1 651;  304 972;   0;   0;   0;   5;  4 061
   0;   0;   0;   0;   0;   412;   102;  248 234;   0;   0;   26;   484
   0;   0;   0;   0;   0;   0;   0;   0;  353 904;   0;   0;   274
   3;   347;  12 189;   94;  1 845;  1 892;  1 831;   375;  7 624;  296 205;  3 923;  1 251
   94;   207;  10 341;   273;   295;  10 492;  8 119;  1 689;  1 164;   0;  861 557;  34 981
   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;  702 415

